SampleID	TERT	Tissue	Tissues	Description	EXTEND
GTEX-117YX-1126-SM-5H128	0	Heart	Heart_LV	Heart_LeftVentricle	0.31150035
GTEX-117YX-1226-SM-5H11S	0	Thyroid	Thyroid	Thyroid	0.595316218
GTEX-117YX-1326-SM-5H125	0.03379	Lung	Lung	Lung	0.409456956
GTEX-117YX-1426-SM-5H12H	0	Breast	Breast	Breast_MammaryTissue	0.552018546
GTEX-117YX-1526-SM-5H12T	0	Prostate	Prostate	Prostate	0.276063716
GTEX-117YX-1626-SM-5GZZG	0.07729	Esophagus	Esophagus_Mucosa	Esophagus_Mucosa	0.641680369
GTEX-117YX-1726-SM-5GZZS	0.04063	Blood Vessel	ArteryCoronary	ArteryCoronary	0.492589029
GTEX-117YX-1826-SM-5H12K	0	Esophagus	Esophagus_Muscularis	Esophagus_Muscularis	0.544756263
GTEX-117YX-1926-SM-5GIEC	0.01957	Skin	Skin_NotSunExposed	Skin_NotSunExposed	0.529914909
GTEX-117YX-2026-SM-5GIEF	5.215	Testis	Testis	Testis	0.886676737
GTEX-117YX-2126-SM-5GIEL	2.258	Spleen	Spleen	Spleen	0.651898358
GTEX-117YX-2226-SM-5EGJJ	0.01018	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.657349605
GTEX-117YX-2326-SM-5H12W	0.06256	Skin	Skin_SunExposed	Skin_SunExposed	0.471356157
GTEX-117YX-2426-SM-5GZZJ	0	Nerve	NerveTibial	Nerve_Tibial	0.556984602
GTEX-117YX-2526-SM-5EQ4Q	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.537494602
GTEX-117YX-2626-SM-5EQ53	0	Blood Vessel	ArteryTibial	ArteryTibial	0.510577545
GTEX-1192W-0005-SM-5NQBQ	0.0193	Blood	WholeBlood	WholeBlood	0.481162029
GTEX-1192W-0008-SM-5QGRE	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.702206795
GTEX-1192W-0126-SM-5EGGS	0.03137	Thyroid	Thyroid	Thyroid	0.374768442
GTEX-1192W-0226-SM-5EGGT	0.01719	Heart	Heart_AA	Heart_AtrialAppendage	0.452612402
GTEX-1192W-2626-SM-5Q5AF	0.1776	Skin	Skin_SunExposed	Skin_SunExposed	0.670237479
GTEX-1192W-3026-SM-5GZZV	0	Pituitary	Pituitary	Pituitary	0.435490956
GTEX-1192X-0005-SM-5NQC3	0	Blood	WholeBlood	WholeBlood	0.344384382
GTEX-1192X-0008-SM-5Q5B7	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.590809592
GTEX-1192X-0226-SM-5H12D	0.2556	Skin	Skin_SunExposed	Skin_SunExposed	0.551100063
GTEX-1192X-0326-SM-5H11U	0.0135	Nerve	NerveTibial	Nerve_Tibial	0.542220615
GTEX-1192X-0426-SM-5GIEE	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.47325319
GTEX-1192X-0726-SM-5987R	0.014	Heart	Heart_AA	Heart_AtrialAppendage	0.463512015
GTEX-1192X-1126-SM-5EGGU	0	Thyroid	Thyroid	Thyroid	0.221885826
GTEX-1192X-1526-SM-5H11I	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.507622272
GTEX-1192X-1826-SM-5GIE2	0	Esophagus	Esophagus_GEJ	Esophagus_GastroesophagealJunction	0.165999614
GTEX-1192X-2326-SM-5987X	0.01979	Breast	Breast	Breast_MammaryTissue	0.610353832
GTEX-1192X-2526-SM-59868	0.1503	Small Intestine	Small_Intestine	Small_Intestine	0.405266499
GTEX-1192X-2726-SM-5N9DN	0.1	Skin	Skin_NotSunExposed	Skin_NotSunExposed	0.559003289
GTEX-1192X-2926-SM-5N9BA	0.4123	Salivary Gland	MinorSalivaryGland	MinorSalivaryGland	0.750610944
GTEX-1192X-3026-SM-5N9BM	0.02823	Pituitary	Pituitary	Pituitary	0.398530558
GTEX-1192X-3126-SM-5N9BY	0.209	Brain	Brain_Cortex	Brain_Cortex	0.49877892
GTEX-1192X-3226-SM-5987D	0.01367	Brain	Brain_Cerebellum	Brain_Cerebellum	0.619832821
GTEX-11DXW-0006-SM-5NQ7Y	0.08334	Blood	WholeBlood	WholeBlood	0.639891874
GTEX-11DXW-0008-SM-5Q59V	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.601270618
GTEX-11DXW-0226-SM-5H122	0	Skin	Skin_SunExposed	Skin_SunExposed	0.607330179
GTEX-11DXW-0326-SM-5H11W	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.570462999
GTEX-11DXW-0426-SM-5H12E	0.01427	Nerve	NerveTibial	Nerve_Tibial	0.559942508
GTEX-11DXW-0526-SM-5H127	0.01223	Blood Vessel	ArteryTibial	ArteryTibial	0.443456305
GTEX-11DXW-0626-SM-5N9ER	0	Breast	Breast	Breast_MammaryTissue	0.663216755
GTEX-11DXW-0726-SM-5H12J	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.486802725
GTEX-11DXW-0826-SM-5H118	0.3111	Skin	Skin_NotSunExposed	Skin_NotSunExposed	0.579201707
