SampleID	Stemness	NormEXTENDScores	Phase
HNSCC17_P2_D09_S45_comb	0.359663699355381	0.328312678533569	NonCycling
HNSCC17_P2_D10_S46_comb	0.404600366488689	0.200529184826828	NonCycling
HNSCC17_P2_E01_S49_comb	0.515562302320499	0.344083974763509	NonCycling
HNSCC17_P2_E02_S50_comb	0.39364674148119	0.337969396816793	NonCycling
HNSCC17_P2_E04_S52_comb	0.416038651112233	0.28812952313335	NonCycling
HNSCC17_P2_E05_S53_comb	0.54502086554989	0.206540951020575	NonCycling
HNSCC17_P2_E09_S57_comb	0.448867035597687	0.32993414455896	NonCycling
HNSCC17_P2_E11_S59_comb	0.477111721370006	0.305090154607468	NonCycling
HNSCC17_P2_E12_S60_comb	0.431714680824876	0.228216037489643	NonCycling
HNSCC17_P2_F01_S61_comb	0.482091264493688	0.191550186026654	NonCycling
HNSCC17_P2_F02_S62_comb	0.64995910637938	0.450313824430872	G2_M
HNSCC17_P2_F03_S63_comb	0.464526456814942	0.490463043627398	NonCycling
HNSCC17_P2_F06_S66_comb	0.702627733677101	0.49414752935244	G1_S
HNSCC17_P2_F08_S68_comb	0.44934443684112	0.219895679414937	NonCycling
HNSCC17_P2_F11_S71_comb	0.521133890315259	0.48917664675745	G1_S
HNSCC17_P2_F12_S72_comb	0.539395438067504	0.47659803320272	G2_M
HNSCC17_P2_G02_S74_comb	0.548350196187652	0.430122980410723	NonCycling
HNSCC17_P2_G04_S76_comb	0.348788000145309	0.226711568959513	NonCycling
HNSCC17_P2_G07_S79_comb	0.628121146640009	0.485591633784082	G1_S
HNSCC17_P2_G09_S81_comb	0.373674096191068	0.312050919992456	NonCycling
HNSCC17_P2_G10_S82_comb	0.568708035853983	0.255992382787725	NonCycling
HNSCC17_P2_G12_S84_comb	0.593517646083203	0.594505369523388	G1_S
HNSCC17_P2_H01_S85_comb	0.489761850084554	0.278982406663032	NonCycling
HNSCC17_P2_H02_S86_comb	0.717776880724351	0.312363612943668	G1_S
HNSCC17_P2_H04_S88_comb	0.574856551090047	0.336566510291711	NonCycling
HNSCC17_P2_H06_S90_comb	0.627246158022681	0.363577725157494	G2_M
HNSCC17_P2_H07_S91_comb	0.505403801556732	0.135519587911229	NonCycling
HNSCC17_P2_H10_S94_comb	0.566480171077833	0.294188539310531	NonCycling
HNSCC17_P3_A08_S200_comb	0.3356720849222	0.249819036576906	NonCycling
HNSCC17_P3_A10_S202_comb	0.381670994106576	0.136700726520562	NonCycling
HNSCC17_P3_A11_S203_comb	0.672151357586188	0.410281320196531	G2_M
HNSCC17_P3_A12_S204_comb	0.297013848206484	0.209904873081318	NonCycling
HNSCC17_P3_B03_S207_comb	0.65279819529277	0.204555630150296	G2_M
HNSCC17_P3_B05_S209_comb	0.597425432902377	0.354972874894563	NonCycling
HNSCC17_P3_B06_S210_comb	0.756061310075696	0.441690654726486	G2_M
HNSCC17_P3_B10_S214_comb	0.473569661838107	0.462175049691279	NonCycling
HNSCC17_P3_B11_S215_comb	0.596485411454034	0.252072651614787	NonCycling
HNSCC17_P3_B12_S216_comb	0.743928157470684	0.604196054396586	G1_S
HNSCC17_P3_C03_S219_comb	0.65327270917287	0.411319288511533	G2_M
HNSCC17_P3_C04_S220_comb	0.453409186113575	0.358424529473241	NonCycling
